emp_no,title,salary
10001,Senior Engineer,60117
10004,Engineer,40054
10005,Senior Staff,78228
10006,Senior Engineer,40000
10009,Assistant Engineer,60929
10011,Staff,42365
10018,Engineer,55881
10019,Staff,44276
10020,Engineer,40000
10022,Engineer,40000
10023,Engineer,47883
10026,Engineer,47585
10035,Engineer,41538
10047,Engineer,54982
10051,Engineer,48817
10053,Senior Staff,67854
10057,Engineer,49616
10058,Senior Staff,52787
10059,Senior Staff,71218
10063,Senior Engineer,40000
10066,Assistant Engineer,69736
10067,Engineer,44642
10070,Technique Leader,55999
10072,Engineer,40000
10073,Engineer,56473
10074,Technique Leader,61714
10076,Senior Engineer,47319
10088,Senior Staff,65957
10091,Engineer,40000
10096,Engineer,61395
10097,Senior Staff,44886
10100,Senior Staff,54398
10101,Staff,66591
10103,Engineer,68158
10106,Engineer,62928
10108,Staff,40000
10116,Senior Engineer,44034
10126,Senior Staff,40000
10127,Senior Engineer,40000
10129,Technique Leader,40000
10130,Senior Engineer,40000
10131,Engineer,48475
10134,Engineer,40000
10138,Engineer,53574
10149,Staff,88740
10150,Engineer,70122
10152,Engineer,40000
10153,Assistant Engineer,54246
10157,Senior Engineer,48770
10159,Senior Engineer,52881
10160,Senior Staff,91622
10161,Engineer,43149
10163,Senior Staff,41603
10166,Engineer,51586
10177,Staff,48041
10183,Staff,40000
10186,Staff,40000
10189,Engineer,41222
10194,Senior Staff,64941
10196,Staff,86671
10198,Engineer,44076
10203,Senior Staff,40000
10205,Senior Engineer,40000
10207,Engineer,52783
10215,Senior Staff,43944
10217,Technique Leader,40000
10219,Senior Staff,40000
10224,Engineer,40000
10228,Senior Staff,79474
10229,Engineer,58321
10230,Senior Staff,47531
10233,Senior Staff,40000
10237,Senior Staff,100715
10239,Staff,65146
10240,Engineer,73874
10248,Senior Staff,58918
10249,Engineer,72192
10258,Assistant Engineer,66280
10262,Staff,63005
10272,Staff,58070
10278,Engineer,51703
10281,Engineer,46123
10282,Assistant Engineer,40000
10283,Engineer,40000
10284,Engineer,40000
10286,Staff,40000
10294,Senior Engineer,66448
10295,Senior Staff,46398
10298,Staff,40000
10302,Senior Staff,58239
10305,Engineer,52550
10306,Staff,44229
10307,Engineer,40000
10321,Staff,86819
10322,Engineer,41968
10325,Senior Staff,44325
10326,Staff,40000
10327,Engineer,54734
10328,Engineer,46286
10333,Engineer,45141
10340,Senior Staff,68132
10343,Senior Engineer,40000
10347,Staff,42199
10349,Senior Staff,47518
10350,Assistant Engineer,41213
10353,Senior Staff,62656
10355,Staff,70434
10356,Senior Staff,45376
10358,Technique Leader,63243
10363,Assistant Engineer,40401
10364,Senior Engineer,51401
10367,Senior Staff,63565
10372,Technique Leader,54505
10374,Staff,69568
10377,Senior Engineer,40000
10382,Engineer,45785
10387,Senior Staff,61374
10388,Staff,62545
10389,Technique Leader,55548
10395,Engineer,42774
10396,Senior Engineer,40393
10397,Technique Leader,40529
10402,Technique Leader,40000
10404,Engineer,51647
10407,Senior Staff,62565
10413,Senior Staff,45416
10414,Senior Engineer,43255
10418,Staff,52224
10422,Engineer,45725
10426,Technique Leader,65757
10429,Senior Engineer,40000
10432,Senior Staff,40000
10433,Assistant Engineer,40000
10442,Senior Staff,46005
10443,Senior Engineer,55299
10451,Assistant Engineer,46275
10453,Senior Staff,40000
10463,Staff,66480
10466,Staff,55318
10477,Engineer,55138
10486,Engineer,71692
10494,Engineer,50094
10497,Engineer,63707
10499,Senior Staff,40000
10503,Engineer,40000
10504,Staff,43931
10509,Senior Staff,49292
10512,Senior Staff,40000
10517,Senior Staff,65330
10519,Senior Staff,40000
10522,Senior Staff,40000
10529,Assistant Engineer,47840
10531,Staff,49168
10538,Senior Engineer,72002
10541,Staff,50741
10542,Senior Engineer,40000
10548,Senior Staff,90631
10552,Senior Engineer,80483
10564,Engineer,46660
10568,Staff,64356
10575,Senior Engineer,40523
10586,Engineer,47541
10591,Staff,55131
10593,Engineer,71435
10596,Senior Staff,58689
10603,Staff,101271
10608,Senior Engineer,40000
10610,Engineer,49812
10614,Engineer,40000
10615,Senior Staff,43533
10617,Senior Staff,40000
10623,Engineer,60268
10624,Technique Leader,40000
10628,Assistant Engineer,41650
10629,Staff,87045
10630,Engineer,40000
10631,Engineer,40000
10634,Assistant Engineer,45179
10636,Staff,40904
10637,Senior Staff,103579
10639,Engineer,46291
10641,Assistant Engineer,41785
10642,Engineer,40000
10653,Senior Engineer,40000
10667,Senior Staff,40000
10671,Senior Staff,74037
10672,Senior Engineer,64663
10676,Engineer,58226
10683,Senior Engineer,40000
10693,Senior Staff,40000
10694,Senior Staff,53020
10696,Technique Leader,68913
10702,Senior Engineer,46581
10712,Engineer,40000
10718,Engineer,75473
10726,Engineer,46315
10731,Senior Staff,77892
10734,Engineer,47377
10741,Senior Staff,50265
10742,Technique Leader,67405
10745,Engineer,40000
10747,Senior Engineer,51538
10749,Engineer,60829
10750,Technique Leader,40000
10751,Engineer,50052
10764,Engineer,70720
10767,Staff,40651
10768,Engineer,65717
10777,Engineer,40000
10778,Senior Staff,64996
10780,Engineer,43654
10782,Staff,40000
10791,Engineer,40000
10795,Senior Staff,84206
10801,Engineer,67302
10803,Engineer,54260
10808,Senior Engineer,40000
10811,Engineer,40000
10813,Senior Staff,53246
10814,Senior Staff,59378
10826,Senior Engineer,59506
10827,Staff,58322
10829,Staff,40000
10830,Senior Staff,47420
10831,Technique Leader,82330
10833,Technique Leader,40000
10834,Assistant Engineer,53869
10835,Engineer,40000
10836,Senior Staff,65502
10844,Engineer,40000
10846,Senior Engineer,40000
10847,Senior Staff,40000
10848,Engineer,50475
10849,Assistant Engineer,66065
10854,Engineer,40000
10858,Engineer,47847
10867,Engineer,40000
10871,Staff,40000
10872,Senior Staff,40000
10873,Staff,65835
10876,Staff,61389
10878,Staff,72102
10879,Senior Engineer,65651
10882,Engineer,40000
10883,Engineer,40000
10885,Senior Staff,78613
10887,Senior Engineer,69570
10895,Staff,67103
10900,Senior Engineer,50054
10906,Staff,66204
10909,Engineer,80935
10912,Senior Staff,45665
10913,Staff,62428
10918,Staff,59521
10920,Senior Staff,40000
10921,Engineer,72601
10922,Staff,51997
10924,Senior Staff,84783
10926,Engineer,43219
10927,Senior Staff,51819
10930,Engineer,53785
10932,Engineer,40000
10936,Senior Staff,40000
10940,Engineer,74987
10942,Engineer,40000
10943,Engineer,45890
10944,Senior Engineer,42872
10947,Senior Staff,43068
10948,Senior Engineer,47252
10949,Senior Staff,58253
10956,Engineer,40000
10965,Senior Staff,61654
10969,Senior Engineer,40000
10971,Technique Leader,52453
10974,Senior Engineer,56005
10985,Engineer,40000
10986,Technique Leader,43900
10987,Engineer,46108
10988,Senior Engineer,54174
10989,Senior Staff,46406
10990,Technique Leader,40000
10996,Senior Staff,43564
11002,Senior Staff,49909
11004,Engineer,40226
11009,Senior Staff,75111
11012,Staff,72092
11019,Engineer,69387
11021,Staff,62670
11024,Staff,85419
11027,Assistant Engineer,40000
11028,Engineer,41111
11031,Senior Staff,71654
11032,Staff,40000
11037,Engineer,40000
11038,Senior Staff,44993
11042,Engineer,40000
11048,Senior Staff,65697
11050,Senior Staff,52251
11051,Engineer,40000
11056,Staff,79354
11060,Staff,57435
11061,Senior Staff,81257
11064,Assistant Engineer,48411
11066,Senior Staff,53496
